gene	cluster
MA_10431427g0010	Cluster1
MA_6156936g0010	Cluster1
MA_8239914g0010	Cluster1
MA_53782g0010	Cluster1
MA_199974g0010	Cluster1
MA_167448g0010	Cluster1
MA_165094g0010	Cluster1
MA_19047g0010	Cluster1
MA_211762g0010	Cluster1
MA_556337g0010	Cluster1
MA_55138g0010	Cluster1
MA_629244g0010	Cluster1
MA_10435921g0010	Cluster1
MA_8902028g0010	Cluster1
MA_130776g0010	Cluster1
MA_10754g0010	Cluster1
MA_46113g0010	Cluster1
MA_10435595g0020	Cluster1
MA_10428565g0010	Cluster1
MA_8219061g0010	Cluster1
MA_103776g0010	Cluster1
MA_808776g0010	Cluster1
MA_10431577g0010	Cluster1
MA_10433735g0010	Cluster1
MA_186212g0020	Cluster1
MA_140607g0010	Cluster1
MA_5395g0010	Cluster1
MA_82562g0010	Cluster1
MA_201611g0010	Cluster1
MA_10435382g0010	Cluster1
MA_9501916g0010	Cluster1
MA_39057g0020	Cluster1
MA_115358g0010	Cluster1
MA_10436333g0010	Cluster1
MA_10437028g0020	Cluster1
MA_10313952g0010	Cluster1
MA_9489726g0010	Cluster1
MA_174378g0010	Cluster1
MA_10078865g0010	Cluster1
MA_107783g0020	Cluster1
MA_64490g0010	Cluster1
MA_281894g0010	Cluster1
MA_56416g0010	Cluster1
MA_13454g0010	Cluster1
MA_6681g0010	Cluster1
MA_14830g0010	Cluster1
MA_392382g0010	Cluster1
MA_59840g0010	Cluster1
MA_125717g0010	Cluster1
MA_29238g0010	Cluster1
MA_10428569g0010	Cluster1
MA_84578g0010	Cluster1
MA_8573g0010	Cluster1
MA_10436408g0010	Cluster1
MA_118509g0010	Cluster1
MA_103473g0010	Cluster1
MA_10432947g0010	Cluster1
MA_10853g0020	Cluster1
MA_754053g0010	Cluster1
MA_87384g0010	Cluster1
MA_939320g0010	Cluster1
MA_503521g0010	Cluster1
MA_10429523g0010	Cluster1
MA_73296g0010	Cluster1
MA_17466g0010	Cluster1
MA_57501g0010	Cluster1
MA_362531g0010	Cluster1
MA_178006g0010	Cluster1
MA_130673g0010	Cluster1
MA_118702g0010	Cluster1
MA_10429833g0010	Cluster1
MA_69335g0010	Cluster1
MA_10436871g0040	Cluster1
MA_10436871g0030	Cluster1
MA_434340g0010	Cluster1
MA_10266950g0010	Cluster1
MA_8933146g0010	Cluster1
MA_10436911g0010	Cluster1
MA_2514g0010	Cluster1
MA_19658g0010	Cluster1
MA_35469g0010	Cluster1
MA_46249g0010	Cluster1
MA_10427579g0030	Cluster1
MA_10427625g0010	Cluster1
MA_83110g0010	Cluster1
MA_208203g0010	Cluster1
MA_141486g0010	Cluster1
MA_14292g0010	Cluster1
MA_79152g0010	Cluster1
MA_10431161g0010	Cluster1
MA_10426363g0020	Cluster1
MA_74105g0010	Cluster1
MA_36980g0010	Cluster1
MA_123046g0010	Cluster1
MA_79741g0010	Cluster1
MA_10025310g0010	Cluster1
MA_10435554g0020	Cluster1
MA_2024663g0010	Cluster1
MA_19741g0010	Cluster1
MA_79100g0010	Cluster1
MA_9195168g0010	Cluster1
MA_10226206g0010	Cluster1
MA_158046g0010	Cluster1
MA_10431923g0010	Cluster1
MA_10435197g0010	Cluster1
MA_31075g0010	Cluster1
